,date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
378,2021-05-30 00:00:00,12371,310137.0,12311.0,181299.0,0.0,2532.0,2519.0,124021.0
379,2021-08-24 00:00:00,410481,15239723.0,260559.0,7509494.0,19122.0,484714.0,0.0,386837.0
380,2021-03-03 00:00:00,275,105314.0,275.0,22182.0,0.0,1982.0,0.0,80774.0
381,2021-07-12 00:00:00,199525,1304333.0,145318.0,1045197.0,0.0,5251.0,10191.0,367576.0
382,2022-02-07 00:00:00,682333,76298293.0,0.0,0.0,2888.0,1536451.0,0.0,0.0
383,2021-05-13 00:00:00,3835,155343.0,3595.0,39555.0,0.0,1982.0,673.0,111802.0
384,2021-04-18 00:00:00,109,115511.0,109.0,7690.0,0.0,1982.0,0.0,104272.0
385,2021-06-16 00:00:00,30684,626827.0,18063.0,321631.0,89.0,3180.0,2545.0,241856.0
386,2021-10-20 00:00:00,126158,35147573.0,0.0,0.0,3108.0,1106383.0,0.0,386837.0
387,2022-04-18 00:00:00,559857,404239460.0,0.0,0.0,106.0,1678596.0,0.0,0.0
388,2021-05-22 00:00:00,6483,216068.0,6898.0,96867.0,0.0,2264.0,1140.0,114082.0
389,2021-06-13 00:00:00,15038,626721.0,6333.0,285538.0,45.0,3091.0,7932.0,241840.0
390,2022-04-13 00:00:00,1011700,398767621.0,0.0,0.0,319.0,1677242.0,0.0,0.0
391,2021-05-17 00:00:00,8117,184216.0,7135.0,67438.0,45.0,2072.0,0.0,112317.0
392,2022-04-22 00:00:00,460466,407718056.0,0.0,0.0,200.0,1679673.0,0.0,0.0
393,2021-10-27 00:00:00,126475,36369749.0,0.0,0.0,2330.0,1124738.0,0.0,386837.0
394,2021-04-02 00:00:00,127,109412.0,127.0,6189.0,0.0,1982.0,951.0,100518.0
395,2021-06-11 00:00:00,9249,446763.0,5004.0,273812.0,88.0,3002.0,4464.0,165913.0
396,2022-04-17 00:00:00,627856,403936006.0,0.0,0.0,45.0,1678490.0,0.0,0.0
397,2021-06-22 00:00:00,6586,626188.0,0.0,0.0,0.0,3547.0,4240.0,241360.0
398,2021-02-05 00:00:00,713,83329.0,719.0,19198.0,0.0,1982.0,0.0,61808.0
399,2021-01-15 00:00:00,304,65022.0,242.0,3867.0,0.0,1982.0,317.0,58952.0
400,2021-04-23 00:00:00,620,117643.0,270.0,9542.0,0.0,1982.0,0.0,104675.0
401,2021-01-12 00:00:00,115,64328.0,115.0,3644.0,0.0,1982.0,0.0,58347.0
402,2021-03-09 00:00:00,54,106774.0,11.0,18808.0,0.0,1982.0,3630.0,85213.0
403,2021-09-26 00:00:00,410617,30654658.0,0.0,0.0,9112.0,967562.0,0.0,386837.0
404,2021-04-14 00:00:00,687,113631.0,627.0,7552.0,0.0,1982.0,0.0,103037.0
405,2021-02-17 00:00:00,774,99147.0,774.0,30053.0,0.0,1982.0,368.0,66958.0
406,2022-02-26 00:00:00,3260029,112780645.0,0.0,0.0,3299.0,1588809.0,0.0,0.0
407,2021-02-11 00:00:00,2111,90892.0,136.0,23949.0,0.0,1982.0,2061.0,64558.0
408,2021-01-17 00:00:00,0,64925.0,0.0,0.0,0.0,1982.0,0.0,58840.0
409,2021-09-11 00:00:00,467961,24334697.0,0.0,0.0,12961.0,791114.0,0.0,386837.0
410,2021-08-13 00:00:00,326165,11142614.0,70798.0,3723462.0,14690.0,270196.0,0.0,386837.0
411,2021-10-02 00:00:00,221017,32807970.0,0.0,0.0,8360.0,1018724.0,0.0,386837.0
412,2021-04-22 00:00:00,443,117023.0,616.0,9272.0,0.0,1982.0,0.0,104675.0
413,2021-02-09 00:00:00,860,87860.0,922.0,23607.0,0.0,1982.0,69.0,62144.0
414,2022-04-14 00:00:00,938274,399705895.0,0.0,0.0,632.0,1677776.0,0.0,0.0
415,2022-05-01 00:00:00,0,412228806.0,0.0,0.0,0.0,1680627.0,0.0,0.0
416,2021-09-06 00:00:00,553420,21680690.0,34061.0,9310434.0,15942.0,713588.0,0.0,386837.0
417,2022-04-02 00:00:00,2614992,377437868.0,0.0,0.0,821.0,1669686.0,0.0,0.0
418,2022-01-10 00:00:00,491958,60099877.0,0.0,0.0,4239.0,1453711.0,0.0,0.0
419,2021-10-31 00:00:00,137707,36890410.0,0.0,0.0,1704.0,1133047.0,0.0,386837.0
420,2021-06-07 00:00:00,11856,400814.0,9533.0,243514.0,0.0,2780.0,2426.0,153877.0
421,2021-02-24 00:00:00,473,102774.0,0.0,24222.0,0.0,1982.0,3595.0,76251.0
422,2021-06-25 00:00:00,20196,672299.0,5816.0,382133.0,124.0,3774.0,9003.0,260315.0
423,2022-04-08 00:00:00,1601463,393450458.0,0.0,0.0,1026.0,1674918.0,0.0,0.0
424,2022-01-30 00:00:00,555348,72392773.0,0.0,0.0,3153.0,1515723.0,0.0,0.0
425,2021-04-29 00:00:00,983,119957.0,999.0,10627.0,0.0,1982.0,0.0,105817.0
426,2022-02-12 00:00:00,1128414,81429390.0,0.0,0.0,2550.0,1548565.0,0.0,0.0
427,2021-01-27 00:00:00,0,65632.0,0.0,0.0,0.0,1982.0,0.0,60551.0
428,2022-02-10 00:00:00,1056846,79202687.0,0.0,0.0,2270.0,1543314.0,0.0,0.0
429,2021-07-09 00:00:00,1,1020948.0,117210.0,754246.0,0.0,5237.0,0.0,357435.0
430,2021-09-16 00:00:00,442980,26586974.0,0.0,0.0,11329.0,857246.0,0.0,386837.0
431,2021-03-16 00:00:00,129,107771.0,0.0,13353.0,0.0,1982.0,1839.0,91595.0
432,2021-02-21 00:00:00,645,101469.0,0.0,26512.0,0.0,1982.0,3874.0,72656.0
433,2021-04-10 00:00:00,90,111937.0,90.0,6531.0,0.0,1982.0,0.0,102424.0
434,2021-06-29 00:00:00,9780,761791.0,12834.0,448437.0,232.0,4130.0,11337.0,297205.0
435,2021-04-11 00:00:00,10,111947.0,10.0,6541.0,0.0,1982.0,0.0,102424.0
436,2021-02-25 00:00:00,319,103093.0,233.0,23974.0,0.0,1982.0,567.0,76818.0
437,2021-08-21 00:00:00,439399,14039573.0,256813.0,6740753.0,0.0,404008.0,0.0,386837.0
438,2021-05-31 00:00:00,9532,319669.0,9752.0,190674.0,0.0,2532.0,3659.0,127680.0
439,2021-04-06 00:00:00,234,110324.0,234.0,5252.0,0.0,1982.0,232.0,102146.0
440,2022-01-11 00:00:00,516086,60616494.0,0.0,0.0,4195.0,1457906.0,0.0,0.0
441,2021-02-28 00:00:00,584,104139.0,68.0,21860.0,0.0,1982.0,1400.0,79954.0
442,2021-05-08 00:00:00,4084,133456.0,3649.0,20353.0,0.0,1982.0,1863.0,109730.0
443,2021-09-09 00:00:00,474586,23291055.0,154466.0,9543342.0,14003.0,764458.0,0.0,386837.0
444,2022-02-05 00:00:00,493905,75037639.0,0.0,0.0,3640.0,1531883.0,0.0,0.0
445,2021-06-02 00:00:00,11226,343408.0,10616.0,208563.0,62.0,2648.0,2012.0,130216.0
446,2021-08-06 00:00:00,334149,8826653.0,92837.0,5418906.0,14823.0,158307.0,0.0,386837.0
447,2021-12-10 00:00:00,322839,46705017.0,0.0,0.0,5847.0,1300455.0,0.0,0.0
448,2022-03-20 00:00:00,5450410,305603833.0,0.0,0.0,1677.0,1652627.0,0.0,0.0
449,2021-04-28 00:00:00,237,118974.0,237.0,9628.0,0.0,1982.0,0.0,105817.0
450,2021-12-11 00:00:00,358618,47061595.0,0.0,0.0,5720.0,1306175.0,0.0,0.0
451,2022-03-13 00:00:00,6457043,231927757.0,0.0,0.0,3045.0,1637176.0,0.0,0.0
452,2021-10-17 00:00:00,102565,34835586.0,0.0,0.0,2777.0,1096321.0,0.0,386837.0
453,2021-02-07 00:00:00,843,84361.0,688.0,20053.0,0.0,1982.0,138.0,62075.0
454,2021-03-29 00:00:00,98,108933.0,98.0,8730.0,0.0,1982.0,0.0,97467.0
455,2021-12-24 00:00:00,374851,51950235.0,0.0,0.0,4941.0,1379116.0,0.0,0.0
456,2022-04-07 00:00:00,1855531,390663862.0,0.0,0.0,578.0,1673892.0,0.0,0.0
457,2021-04-26 00:00:00,390,118544.0,256.0,9198.0,0.0,1982.0,0.0,105817.0
458,2021-09-14 00:00:00,466314,25720207.0,0.0,0.0,13671.0,833752.0,0.0,386837.0
459,2022-01-03 00:00:00,511358,56286340.0,0.0,0.0,3524.0,1426673.0,0.0,0.0
460,2022-01-04 00:00:00,474317,56803136.0,0.0,0.0,4179.0,1430852.0,0.0,0.0
461,2021-05-28 00:00:00,3677,276228.0,13813.0,159258.0,44.0,2532.0,1900.0,121564.0
462,2021-11-25 00:00:00,280298,42874829.0,0.0,0.0,4658.0,1213953.0,0.0,0.0
463,2021-03-27 00:00:00,0,108699.0,0.0,8496.0,0.0,1982.0,1784.0,97467.0
